Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,128 GB,,Q Türkçe,Ofis - İş,,,Yok,,,4 GB,DDR4,Gri,SSD Yok,,,,1366 x 768,HD Ready (HD),,N4120,Belirtilmemiş,Intel Celeron,4,Windows,,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334?boutiqueId=626264&merchantId=825357,7.199 TL
16 GB,HDMI,,,4 kg ve Üstü,,,AMD Radeon R7 240,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,500 GB,Yok,Q Türkçe,Oyun,,,Yok,,350 - 500 W,16 GB,,,256 GB,,,3.2,,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//ramtech/dg179-i5-3470-16gb-ram-256gb-ssd-500-gb-hdd-r7-240-4gb-oyuncu-pc-p-645939948?boutiqueId=626264&merchantId=187272&advertItems=eyJhZHZlcnRJZCI6ImU4YmE1NjVhLWQ5ZTItNDJlOC1iOWU2LTY4NTNiMWFjZjViMyIsInNvcnRpbmdTY29yZSI6MC4xMDMzMzk5NzEwMjgyNjgzNSwiYWRTY29yZSI6MC4wNDA2NjkwMTY1NDAwNTA1MSwiYWRTY29yZXMiOnsiMSI6MC4wNDA2NjkwMTY1NDAwNTA1MSwiMiI6MC4wNDA2NjkwMTY1NDAwNTA1MX0sImNwYyI6Mi41NDEwMDAwMDAwMDAwMDA0LCJtaW5DcGMiOjAsImVDcGMiOjIuNTQxMDAwMDAwMDAwMDAwNCwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,6.499 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,DDR4,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880?boutiqueId=61&merchantId=109239,"9.539,99 TL"
,,,,2 kg ve Altı,Yok,13 inç,M2 10 Çekirdekli,DDR4,Paylaşımlı,Dahili,120 Hz,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,Ofis - İş,,,Yok,,,8 GB,DDR4,Gümüş,256 GB,,,,2560 x 1600,Retina,,Belirtilmemiş,2. Nesil,M2,8,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-13-3-inc-m2-cip-8cpu-10gpu-8gb-256gb-ssd-silver-mnep3tu-a-p-335860193?boutiqueId=632402&merchantId=968,39.499 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-2-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-745868619?boutiqueId=61&merchantId=105286,37.199 TL
16 GB,Wi-Fi,,Tek Ebat,2 - 4 kg,,,Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,,1 TB,,Oyun,,,Yok,,500 W ve üstü,16 GB,,,128 GB,,,3.2,,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/bx17-i5-3470-16gb-ram-1tb-hdd-128gb-ssd-gtx1050ti-masaustu-bilgisayar-p-347604194?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4xMDMyMjQwODUyNzEzNTg1LCJhZFNjb3JlIjowLjA2MjU2MDA1MTY3OTYxMTIsImFkU2NvcmVzIjp7IjEiOjAuMDYyNTYwMDUxNjc5NjExMiwiMiI6MC4wNjI1NjAwNTE2Nzk2MTEyfSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90Ijo5LCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,8.999 TL
,,,,,,"24"" / 61 Ekran",AMD Radeon R7 240,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,Q Türkçe,Oyun,,,Yok,IPS,250 - 350 W,16 GB,,,256 GB,,,2.8,1920 x 1080,Full HD (FHD),,860,Belirtilmemiş,Intel Core i7,4,Windows,,https://www.trendyol.com//dmc/n90x-gta-5-i7-860-16gb-ram-256gb-ssd-4gb-gt730-24-masaustu-oyuncu-bilgisayari-p-335934187?boutiqueId=626264&merchantId=172251,8.766 TL
64 GB,VGA - HDMI - DP - COM,,,2 - 4 kg,,,Nvidia GeForce RTX 3060 Ti,GDDR6X,8 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,500 GB,Yok,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR4,,500 GB,Gen 4,AM4,3.9,1920 x 1080,Ultra HD 4K (UHD),3.00 GHz üstü,Ryzen 5 5600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-oyuncu-pc-bilgisayar-masaustu-kasa-ryzen-5-5600-rtx-3060ti-p-775406423?boutiqueId=61&merchantId=881121,"19.799,01 TL"
64 GB,HDMI,,,2 - 4 kg,,"24"" / 61 Ekran",AMD Radeon RX 550,DDR4,6 GB,Dahili,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,HDD Yok,512 GB,RGB,Oyun,,,Yok,TN,500 W ve üstü,32 GB,DDR4,,512 GB,,AM4,3.6,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3600,3. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//zeiron/zgx25-windows-11-pro-ryzen-5-3600-32gb-512gb-ssd-rx550-4gb-23-8-oyuncu-masaustu-bilgisayar-p-310792132?boutiqueId=61&merchantId=127037,15.699 TL
16 GB,,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,,Yok,RGB,Oyun,,Üniversite,Yok,,500 W ve üstü,16 GB,DDR3,,512 GB,,,,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/tr16-i5-3470-16gb-ram-512gb-ssd-4gb-gtx1050ti-23-8-165hz-masaustu-oyuncu-bilgisayari-p-464982396?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4xMDI0NDczNjMwNDk1MzY5LCJhZFNjb3JlIjowLjA0NDU0NDY1NTgyOTY2ODA0NSwiYWRTY29yZXMiOnsiMSI6MC4wNDQ1NDQ2NTU4Mjk2NjgwNDUsIjIiOjAuMDQ0NTQ0NjU1ODI5NjY4MDQ1fSwiY3BjIjoyLjI5OTg3OTk5OTk5OTk5OSwibWluQ3BjIjowLCJlQ3BjIjoyLjI5OTg3OTk5OTk5OTk5OSwiYWR2ZXJ0U2xvdCI6MTAsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,13.799 TL
,HDMI - USB,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0065nt-8b5y3ea-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-16-1-fhd-freedos-p-758800085?boutiqueId=61&merchantId=467452,42.999 TL
,,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ev - Okul,,,Yok,,,4 GB,DDR4,Gri,256 GB,,,,1920 x 1080,Full HD (FHD),,1115G4,Belirtilmemiş,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217?boutiqueId=623361&merchantId=968,"9.696,67 TL"
,,,,Belirtilmemiş,Yok,"14,1 inç",Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,2.8,,,TN,,4 GB,Belirtilmemiş,Gümüş,128 GB,,,1.1,1366 x 768,HD Ready (HD),,N4020,4. Nesil,Intel Celeron,2,Windows,3 Saat ve Altı,https://www.trendyol.com//hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=106740,5.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/sx75-plus-i7-860-16gb-240gb-gt730-24-dual-curved-oyuncu-masaustu-bilgisayar-p-289910094?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4xMDIxMTkyMDQ1ODgyMzQ0NCwiYWRTY29yZSI6MC4wNjE4OTA0MjcwMjMxNzIzOCwiYWRTY29yZXMiOnsiMSI6MC4wNjE4OTA0MjcwMjMxNzIzOCwiMiI6MC4wNjE4OTA0MjcwMjMxNzIzOH0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjM5MTk1NzE2Mjc2ODg3MywiYWR2ZXJ0U2xvdCI6MTEsIm9yZGVyIjoxOSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,13.452 TL
,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,4.7,,Yok,IPS,,16 GB,DDR4,Gümüş,512 GB,,,Belirtilmemiş,1920 x 1080,Full HD (FHD),,1195G7,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//huawei/matebook-d15-intel-core-i7-1195g7-16gb-512gb-ssd-windows-11-home-15-6-fhd-p-637293446?boutiqueId=61&merchantId=619412,21.395 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-7n9v0ea-15-fa1028nt-i7-13700h-16gb-1tb-rtx3050-15-6inc-144hz-full-hd-freedos-gaming-laptop-p-669761896?boutiqueId=632399&merchantId=105369,29.599 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,4 GB,DDR4,Gri,128 GB,,,,1920 x 1080,Full HD (FHD),,N4020,10. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201?boutiqueId=61&merchantId=110963,6.869 TL
16 GB,HDMI,,,2 - 4 kg,,"24"" / 61 Ekran",Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,1 TB,1 TB,RGB,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,,Siyah,240 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/gr40-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-71312478?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4xMDAyMTI3MTcwMTU2Njg3MiwiYWRTY29yZSI6MC4wNTg3OTg1NDc4MzQxNTc5NDQsImFkU2NvcmVzIjp7IjEiOjAuMDU4Nzk4NTQ3ODM0MTU3OTQ0LCIyIjowLjA1ODc5ODU0NzgzNDE1Nzk0NH0sImNwYyI6MS43MDQzMzk5OTk5OTk5OTk1LCJtaW5DcGMiOjAsImVDcGMiOjEuNzA0MzM5OTk5OTk5OTk5NSwiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,10.949 TL
8 GB,Mini HDMI,,,2 kg ve Altı,Yok,"13,6 inç",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,Yok,,,8 GB,DDR5,Mavi,256 GB,,,3.3,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=169540,34.599 TL
12 GB,Bluetooth - HDMI,Mini HDMI - VGA,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ev - Okul,2.8,,Yok,IPS,,12 GB,DDR4,Gümüş,128 GB,,,1.1,1920 x 1080,Full HD (FHD),,N4020,4. Nesil,Intel Celeron,2,Windows,3 Saat ve Altı,https://www.trendyol.com//asus/x515ma-ej680w0w-n4020-12gb-128gb-emmc-windows-11-home-15-6-full-hd-p-775530278?boutiqueId=61&merchantId=773412,8.499 TL
,,,,2 - 4 kg,Yok,14 inç,Dahili Ekran Kartı,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,250 GB,1 GB,Q Türkçe,Ofis - İş,,,Yok,,,1 GB,DDR4,Gri,128 GB,,,,1280 x 800,Full HD (FHD),,5200,1. Nesil,AMD,1,Free Dos,,https://www.trendyol.com//technopc/t14n3-celeron-n3450-4gb-128gb-wifi-0-3m-7-4v-14-notebook-3g-tablet-p-315306563?boutiqueId=61&merchantId=306403,4.399 TL
16 GB,HDMI,,,2 - 4 kg,,"19"" / 48 Ekran",Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,1 TB,RGB,Oyun,,,Yok,,350 - 500 W,16 GB,,,256 GB,,,3.2,,HD Ready (HD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/xs95-i5-3470-16gb-ram-256gb-ssd-1tb-hdd-gt730-19-masaustu-oyuncu-bilgisayari-p-346737817?boutiqueId=626264&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wOTk5NzA1NTc2MDc3MTAzMywiYWRTY29yZSI6MC4wNDE4ODEyNTU4MDU0OTI0LCJhZFNjb3JlcyI6eyIxIjowLjA0MTg4MTI1NTgwNTQ5MjQsIjIiOjAuMDQxODgxMjU1ODA1NDkyNH0sImNwYyI6Mi4zODY5OTk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4zNDU0ODcyMzA5NTE4MzksImFkdmVydFNsb3QiOjEzLCJvcmRlciI6Mywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,8.549 TL
,USB,,,2 kg ve Altı,Var,"13,3 inç",Intel HD Graphics 610,DDR,Paylaşımlı,Dahili,90 Hz,,2 Yıl,Samsung TR Garantili,,,256 GB,,Q İngilizce,Ofis - İş,,,,,,8 GB,DDR4,Gri,256 GB,,,,1920 x 1080,FHD+,,3600,5. Nesil,Intel Core M,8,Windows,,https://www.trendyol.com//samsung/galaxy-book-s-snapdragon-islemcili-p-450517676?boutiqueId=61&merchantId=720049,22.077 TL
,HDMI,,,2 kg ve Altı,Yok,14 inç,AMD,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,4.3,,Yok,IPS,,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,5625U,Belirtilmemiş,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-14-g4-aba-r5-5625u-16-gb-512-gb-ssd-14-free-dos-fhd-dizustu-bilgisayar-p-466710735?boutiqueId=61&merchantId=105013,15.999 TL
,Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,3700X,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0011nt-7z584ea-8gb-rtx4060-ryzen-7-7840hs-16gb-ram-1tb-ssd-16-1-inc-fhd-144hz-p-738778131?boutiqueId=61&merchantId=118442,36.199 TL
16 GB,,,,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,1 TB,1 TB,RGB,Oyun,,,Yok,,500 W ve üstü,16 GB,DDR3,,128 GB,,,,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/tr38-i5-3470-16gb-ram-1tb-hdd-128gb-ssd-6gb-gtx-1660-super-23-8-144hz-oyuncu-bilgisayari-p-466854509?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wOTczOTQzMjUzMDg1MDE2OSwiYWRTY29yZSI6MC4wNDA4MDE5Nzk2MDEzODMyMSwiYWRTY29yZXMiOnsiMSI6MC4wNDA4MDE5Nzk2MDEzODMyMSwiMiI6MC4wNDA4MDE5Nzk2MDEzODMyMX0sImNwYyI6Mi4zODY5OTk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4zODY5OTk5OTk5OTk5OTksImFkdmVydFNsb3QiOjE0LCJvcmRlciI6Nywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,15.949 TL
32 GB,Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,TN,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,i5-11320H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/intel-core-i5-11400h-16gb-ram-512gb-ssd-rtx3050ti-freedos-17-3-fhd-oyuncu-dizustu-bilgisayar-p-767449933?boutiqueId=61&merchantId=203702,26.999 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel XE Graphics,DDR4,8 GB,Dahili,90 Hz,,2 Yıl,Asus Türkiye Garantili,,,256 GB,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,8 GB,DDR4,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),,1235U,10. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//asus/x1502za-ej654w-intel-i5-1235u-8gb-256gb-ssd-intel-iris-xe-graphics-15-6-fhd-w11-mavi-notebook-p-753724191?boutiqueId=61&merchantId=841186,13.270 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,,32 GB,DDR4,Siyah,1 TB,Gen 4,,2,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243?boutiqueId=61&merchantId=105286,29.999 TL
16 GB,HDMI,,,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,144 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,,Yok,TN,350 - 500 W,16 GB,,,512 GB,,LGA 1155,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/sirius-x32-i5-3470-16gb-512gb-ssd-gtx1050ti-23-8-165hz-oyuncu-masaustu-bilgisayar-p-463672089?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wOTcxMjExMzMyODI3ODA2NiwiYWRTY29yZSI6MC4wNTg4NjEyOTI4OTg2NTQ5NCwiYWRTY29yZXMiOnsiMSI6MC4wNTg4NjEyOTI4OTg2NTQ5NCwiMiI6MC4wNTg4NjEyOTI4OTg2NTQ5NH0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTUsIm9yZGVyIjoxMSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,13.749 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,4.4,,,TN,,8 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,6 Saat ve Üstü,https://www.trendyol.com//asus/vivobook-15-12-nesil-core-i5-1235u-8gb-512gb-ssd-15-6inc-w11-p-779209968?boutiqueId=61&merchantId=868267,15.599 TL
,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-1tb-ssd-1tb-hdd-w10pro-15-6-fhd-notebook-82tt00a5tx0424-mouse-canta-p-743838249?boutiqueId=61&merchantId=109354,17.992 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-512gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654281247?boutiqueId=61&merchantId=161002,17.165 TL
