Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
7180.0,Intel HD Graphics,Intel Core i5,3. Nesil,İ5-3470,16.0,24 inç,Dahili,Paylaşımlı,Dahili,75 Hz,,2 Yıl,,DDR3,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Windows
16249.0,Nvidia GeForce GTX 1660 SUPER,Intel Core i5,12. Nesil,12400F,32.0,6 inç ve üstü,GDDR5,8 GB,Harici,,,2 Yıl,,DDR4,512.0,,2.5,1920 x 1080,2.50 GHz - 3.00 GHz,6,Free Dos
13452.0,Nvidia GT730,Intel Core i7,1. Nesil,860,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,,,2 Yıl,,,240.0,,2.8,1920 x 1080,3.00 GHz üstü,4,Free Dos
83940.0,Intel UHD Graphics,Intel Celeron,12. Nesil,N4120,8.0,"11,6 inç",DDR4,1 GB,Dahili,90 Hz,,3 Yıl,,DDR4,64.0,,,1366 x 768,,2,Windows
9949.0,Nvıdıa GeForce GT 730,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",DDR3,4 GB,Harici,75 Hz,,2 Yıl,,DDR3,512.0,,,1920 x 1080,3.00 GHz üstü,4,Free Dos
9469.0,AMD Radeon Graphics,AMD Ryzen 3,7. Nesil,7320U,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,,LPDDR5,256.0,,,1920 x 1080,,4,Free Dos
34999.0,M2 8 Çekirdekli,Apple M2,1. Nesil,Belirtilmemiş,8.0,"13,6 inç",Dahili,8 GB,Dahili,120 Hz,,2 Yıl,,DDR5,256.0,,3.3,2560 x 1600,,1,Mac Os
22799.0,Nvidia GeForce RTX 3050,AMD Ryzen 5,6. Nesil,6600H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,4.5,DDR5,512.0,,3.3,1920 x 1080,,6,Free Dos
192552.0,AMD Radeon RX 580,Intel Core i5,10. Nesil,10400F,16.0,"24"" / 61 Ekran",DDR4,8 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,4,1920 x 1080,3.00 GHz üstü,6,Free Dos
12250.0,Dahili Ekran Kartı,Intel Xeon,13. Nesil,12060p,16.0,"15,6 inç",GDDR5,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,256.0,,,1920 x 1080,,24,Free Dos
